Date,Start Time,Division,Home Team,Away Team,Location
6/18/2022,9:00 AM,Division 1,Blue,White,Estuary Park (Alameda)
6/18/2022,10:30 AM,Division 1,Black,Green,Estuary Park (Alameda)
6/25/2022,9:00 AM,Division 1,Blue,Green,Estuary Park (Alameda)
6/25/2022,10:30 AM,Division 1,Red,White,Estuary Park (Alameda)
7/9/2022,9:00 AM,Division 1,Red,Green,Estuary Park (Alameda)
7/9/2022,10:30 AM,Division 1,Black,Blue,Estuary Park (Alameda)
7/16/2022,9:00 AM,Division 1,Red,Black,Estuary Park (Alameda)
7/16/2022,10:30 AM,Division 1,Green,White,Estuary Park (Alameda)
7/23/2022,9:00 AM,Division 1,Black,White,Estuary Park (Alameda)
7/23/2022,10:30 AM,Division 1,Blue,Red,Estuary Park (Alameda)
7/30/2022,9:00 AM,Division 1,Green,Black,Estuary Park (Alameda)
7/30/2022,10:30 AM,Division 1,White,Blue,Estuary Park (Alameda)
8/6/2022,9:00 AM,Division 1,White,Red,Estuary Park (Alameda)
8/6/2022,10:30 AM,Division 1,Green,Blue,Estuary Park (Alameda)
8/13/2022,9:00 AM,Division 1,Blue,Black,Estuary Park (Alameda)
8/13/2022,10:30 AM,Division 1,Green,Red,Estuary Park (Alameda)
