"Date","Start Time","Division","Home Team","Away Team","Location"
"06/17/2023","08:00 AM","Division 1","Black Widows","Jolly Green Giants","Estuary Park (Alameda)"
"06/17/2023","09:30 AM","Division 1","Yellow Killa Bees","Blue Skies","Estuary Park (Alameda)"
"06/17/2023","11:00 AM","Division 1","Red Wave","White Claws","Estuary Park (Alameda)"
"06/24/2023","08:00 AM","Division 1","Yellow Killa Bees","Red Wave","Estuary Park (Alameda)"
"06/24/2023","09:30 AM","Division 1","Black Widows","Blue Skies","Estuary Park (Alameda)"
"06/24/2023","11:00 AM","Division 1","Jolly Green Giants","White Claws","Estuary Park (Alameda)"
"07/01/2023","08:00 AM","Division 1","Black Widows","Yellow Killa Bees","Estuary Park (Alameda)"
"07/01/2023","09:30 AM","Division 1","Jolly Green Giants","Red Wave","Estuary Park (Alameda)"
"07/01/2023","11:00 AM","Division 1","White Claws","Blue Skies","Estuary Park (Alameda)"
"07/08/2023","08:00 AM","Division 1","Blue Skies","Red Wave","Estuary Park (Alameda)"
"07/08/2023","09:30 AM","Division 1","Black Widows","White Claws","Estuary Park (Alameda)"
"07/08/2023","11:00 AM","Division 1","Yellow Killa Bees","Jolly Green Giants","Estuary Park (Alameda)"
"07/15/2023","08:00 AM","Division 1","Yellow Killa Bees","White Claws","Estuary Park (Alameda)"
"07/15/2023","09:30 AM","Division 1","Red Wave","Black Widows","Estuary Park (Alameda)"
"07/15/2023","11:00 AM","Division 1","Blue Skies","Jolly Green Giants","Estuary Park (Alameda)"
"07/22/2023","08:00 AM","Division 1","White Claws","Red Wave","Estuary Park (Alameda)"
"07/22/2023","09:30 AM","Division 1","Jolly Green Giants","Black Widows","Estuary Park (Alameda)"
"07/22/2023","11:00 AM","Division 1","Blue Skies","Yellow Killa Bees","Estuary Park (Alameda)"
"07/29/2023","08:00 AM","Division 1","White Claws","Jolly Green Giants","Estuary Park (Alameda)"
"07/29/2023","09:30 AM","Division 1","Red Wave","Yellow Killa Bees","Estuary Park (Alameda)"
"07/29/2023","11:00 AM","Division 1","Blue Skies","Black Widows","Estuary Park (Alameda)"
"08/05/2023","08:00 AM","Division 1","Blue Skies","White Claws","Estuary Park (Alameda)"
"08/05/2023","09:30 AM","Division 1","Yellow Killa Bees","Black Widows","Estuary Park (Alameda)"
"08/05/2023","11:00 AM","Division 1","Red Wave","Jolly Green Giants","Estuary Park (Alameda)"
"08/12/2023","08:00 AM","Division 1","Jolly Green Giants","Yellow Killa Bees","Estuary Park (Alameda)"
"08/12/2023","09:30 AM","Division 1","Red Wave","Blue Skies","Estuary Park (Alameda)"
"08/12/2023","11:00 AM","Division 1","White Claws","Black Widows","Estuary Park (Alameda)"
"08/19/2023","08:00 AM","Division 1","Jolly Green Giants","Blue Skies","Estuary Park (Alameda)"
"08/19/2023","09:30 AM","Division 1","White Claws","Yellow Killa Bees","Estuary Park (Alameda)"
"08/19/2023","11:00 AM","Division 1","Black Widows","Red Wave","Estuary Park (Alameda)"
"08/26/2023","08:00 AM","Division 1","Yellow Killa Bees","Blue Skies","Estuary Park (Alameda)"
"08/26/2023","09:30 AM","Division 1","Red Wave","White Claws","Estuary Park (Alameda)"
"08/26/2023","11:00 AM","Division 1","Black Widows","Jolly Green Giants","Estuary Park (Alameda)"
